DIST_2008,length
ABURA / ASEBU / KWAMANKESE,36
ACCRA METROPOLIS,81
ADAKLU-ANYIGBE,31
ADANSI NORTH,87
ADANSI SOUTH,78
ADENTA,53
AFIGYA KWABRE,9
AFIGYA SEKYERE,53
AGONA EAST,19
AGONA WEST,15
AHAFO ANO NORTH,23
AHAFO ANO SOUTH,4
AJUMAKO-ENYAN-ESIAM,9
AKATSI,60
AKWAPEM NORTH,24
AKWAPEM SOUTH,22
AKYEM MANSA,43
AMANSIE CENTRAL,40
AMANSIE WEST,10
AOWIN,28
ASANTE AKIM CENTRAL MUNICIPAL,52
ASANTE AKIM SOUTH,75
ASHAIMAN,14
ASSIN NORTH,8
ASSIN SOUTH,31
ASUNAFO NORTH,33
ASUNAFO SOUTH,20
ASUOGYAMAN,91
ASUTIFI,46
ATEBUBU AMANTIN,61
ATIWA,56
ATWIMA KWANWOMA,59
ATWIMA MPONUA,39
ATWIMA NWABIAGYA,17
AWUTU SENYA,47
BAWKU MUNICIPAL,107
BEKWAI MUNICIPAL,93
BEREKUM,20
BIAKOYE,76
BIRIM MUNICIPAL,15
BIRIM NORTH,33
BIRIM SOUTH,15
BOLE,225
BOLGATANGA MUNICIPAL,34
BOSOME FREHO,0
BOSOMTWE /ATWIMA / KWANWOMA,31
BUILSA,14
CAPE COAST METRO,23
CENTRAL TONGU,69
DANGME EAST,37
DANGME WEST,184
DORMAA EAST,10
DORMAA MUNICIPAL,13
EAST AKIM,124
EAST GONJA,95
EJISU JUABEN,100
EJURA SEKYE DUMASE,52
ELLEMBELLE,47
FANTEAKWA,42
GA EAST,22
GA SOUTH,45
GA WEST,56
GOMOA EAST,100
GOMOA WEST,62
GONJA CENTRAL,273
HO MUNICIPAL,34
HOHOE MUNICIPAL,65
JASIKAN,44
JIRAPA,68
JOMORO,125
KADJEBI,43
KASENA NANKANA EAST,36
KASENA NANKANA WEST,83
KETA MUNICIPAL,34
KETU NORTH,34
KETU SOUTH,38
KINTAMPO NORTH,202
KINTAMPO SOUTH,85
KMA,124
KOMENDA EDNA EGUAFO / ABIREM,92
KPANDO MUNICIPAL,45
KRACHI EAST,56
KWABRE,23
KWAEBIBIREM,48
KWAHU EAST,27
KWAHU NORTH,66
KWAHU SOUTH,50
KWAHU WEST,58
LAMBUSSIE KARNI,15
LAWRA,22
LEDZOKUKU / KROWOR,2
LOWER MANYA,91
MAMPONG MUNICIPAL,17
MFANTSIMAN,128
NADOWLI,47
NEW JUABEN MUNICIPAL,38
NKORANZA,92
NKWANTA SOUTH,43
NORTH TONGU,42
NZEMA EAST,22
OBUASI MUNICIPAL,71
OFFINSO MUNICIPAL,33
OFFINSO NORTH,32
PRESTEA / HUNI VALLEY,226
SABOBA,9
SAVELUGU NANTON,75
SAWLA/TUNA/KALBA,59
SEFWI-WIAWSO,47
SEFWI AKONTOMBRA,24
SEFWI BIBIANI-ANHWIASO BEKWAI,71
SEFWI JUABOSO,82
SEKONDI TAKORADI,48
SEKYERE AFRAM PLAINS,33
SEKYERE CENTRAL,28
SEKYERE EAST,7
SENE,15
SHAMA,72
SISSALA EAST,130
SISSALA WEST,107
SOUTH DAYI,18
SOUTH TONGU,77
SUHUM MUNICIPAL,5
SUNYANI MUNICIPAL,83
SUNYANI WEST,67
TAIN,24
TALENSI-NABDAM,36
TAMALE METROPOLIS,131
TANO SOUTH,5
TARKWA NSUAEM,113
TECHIMAN MUNICIPAL,92
TEMA METROPOLIS,117
TOLON / KUMBUNGU,21
UPPER DENKYIRA EAST,74
UPPER DENKYIRA WEST,63
UPPER MANYA,16
WA EAST,17
WA MUNICIPAL,31
WA WEST,5
WASSA AMENFI EAST,98
WASSA AMENFI WEST,61
WASSA EAST,82
WENCHI,86
WEST AKIM,26
WEST MAMPRUSI,52
YENDI MUNICIPAL,138
YILO KROBO,100
ZABZUGU TATALE,16
